0,
87,
salarymx,age,experience,city,gender,
10000,29,7,SanJuandelRio,hombre,
25000,28,4,Queretaro,hombre,
8500,24,1,San Juan del Rio,mujer,
47000,32,2,Queretaro,hombre,
12000,27,1,San Juan del Rio,mujer,
5000,22,1,San Juan del Rio,hombre,
0,22,0,Queretaro,hombre,
18000,24,2,Queretaro,mujer,
27000,30,8,San Juan del Rio,hombre,
8000,22,0,San Juan del Rio,mujer,
8000,22,1,San Juan del Rio,hombre,
15000,27,4,San Juan del Rio,mujer,
15000,29,5,Queretaro,mujer,
25000,25,2,Queretaro,hombre,
18000,25,2,Queretaro,mujer,
14000,26,4,Queretaro,hombre,
37000,45,22,Queretaro,hombre,
35000,26,4,Queretaro,mujer,
20000,24,1,Queretaro,mujer,
45000,45,20,Queretaro,hombre,
14000,22,1,Queretaro,hombre,
50000,36,11,Queretaro,hombre,
25000,35,13,Queretaro,hombre,
37500,35,13,Queretaro,hombre,
30000,27,7,Queretaro,hombre,
155000,28,5,Queretaro,hombre,
36000,41,14,Queretaro,mujer,
21500,28,5,Queretaro,hombre,
51000,41,20,Queretaro,hombre,
40000,35,10,Queretaro,hombre,
30000,44,13,Queretaro,hombre,
33000,44,21,Queretaro,hombre,
0,28,11,Queretaro,hombre,
25000,29,6,Queretaro,hombre,
17000,23,4,Queretaro,hombre,
50000,28,2,Queretaro,hombre,
88000,37,14,Queretaro,hombre,
25000,27,5,Queretaro,hombre,
54000,25,4,Queretaro,hombre,
65000,56,38,Queretaro,hombre,
30000,51,29,Queretaro,hombre,
80000,39,10,Queretaro,hombre,
18000,27,3,Queretaro,hombre,
18000,23,1,Queretaro,hombre,
40000,31,8,Queretaro,hombre,
66300,42,20,Queretaro,hombre,
35000,59,30,Queretaro,hombre,
27000,30,7,Queretaro,hombre,
20000,22,1,Queretaro,mujer,
80000,42,20,Queretaro,hombre,
80000,32,12,Queretaro,hombre,
14000,28,5,Queretaro,mujer,
10000,22,1,Queretaro,hombre,
8000,22,2,Queretaro,mujer,
48000,28,5,Queretaro,hombre,
19500,28,4,Queretaro,hombre,
43500,29,5,Queretaro,hombre,
5500,27,2,Queretaro,mujer,
65000,45,20,Queretaro,hombre,
15000,24,4,Queretaro,hombre,
29000,30,8,Queretaro,hombre,
12000,23,2,Queretaro,hombre,
33000,38,17,Queretaro,hombre,
35000,31,9,Queretaro,mujer,
40000,35,9,Queretaro,hombre,
30000,35,12,Queretaro,hombre,
40000,31,6,Queretaro,hombre,
28000,44,25,Queretaro,hombre,
50000,35,12,Queretaro,hombre,
25000,25,2,Queretaro,hombre,
29000,26,2,Queretaro,hombre,
4500,21,1,Queretaro,mujer,
20000,28,6,Queretaro,hombre,
81000,37,10,Queretaro,hombre,
82000,32,9,Queretaro,hombre,
34000,33,11,Queretaro,hombre,
41000,37,12,Queretaro,hombre,
28500,28,5,Queretaro,hombre,
42000,32,8,Queretaro,hombre,
30000,26,3,Queretaro,hombre,
12500,24,1,Queretaro,hombre,
80000,40,20,Queretaro,hombre,
60000,23,5,Queretaro,hombre,
26500,37,16,Queretaro,hombre,
38000,29,6,Queretaro,hombre,
13000,28,6,Queretaro,hombre,
30000,37,10,Queretaro,hombre,


